split,baseline,n_features,context_columns,train_rows,test_rows,mapping_size,matched_context_fraction,accuracy,balanced_accuracy_fixed_labels,macro_f1,errors
stratified_holdout,context_majority_full_core,20,Threat/Content Type;Application;Source Zone;Destination Zone;Inbound Interface;Outbound Interface;IP Protocol;Source Port;Destination Port;Source Country;Destination Country;Threat/Content Name;Category;Severity;Direction;Subcategory of app;Category of app;Technology of app;Risk of app;SaaS of app,141724,35432,41580,0.8328347256717092,0.9390946037480243,0.47251025692564175,0.5116816867541821,2158
stratified_holdout,context_majority_full_no_threat_descriptors,17,Application;Source Zone;Destination Zone;Inbound Interface;Outbound Interface;IP Protocol;Source Port;Destination Port;Source Country;Destination Country;Category;Direction;Subcategory of app;Category of app;Technology of app;Risk of app;SaaS of app,141724,35432,40858,0.8418661097313164,0.9481259878076315,0.503913593530156,0.5468535251468407,1838
stratified_holdout,context_majority_full_minimal_context,11,Application;Source Zone;Destination Zone;Inbound Interface;Outbound Interface;IP Protocol;Source Port;Destination Port;Source Country;Destination Country;Direction,141724,35432,40858,0.8418661097313164,0.9481259878076315,0.503913593530156,0.5468535251468407,1838
stratified_holdout,context_majority_operational_minimal,10,Application;Direction;Source Zone;Destination Zone;Inbound Interface;Outbound Interface;IP Protocol;Destination Port;Source Country;Destination Country,141724,35432,29208,0.9062429442312034,0.9988993000677354,0.9888085917213992,0.9768399418870224,39
stratified_holdout,context_majority_app_dir_zones,4,Application;Direction;Source Zone;Destination Zone,141724,35432,20,0.9999717769248138,0.9963874463761572,0.9709162562316498,0.9534602901384142,128
stratified_holdout,train_majority,0,(none),141724,35432,0,0.0,0.9075976518401445,0.2,0.19031217635744932,3274
chronological_holdout,context_majority_full_core,20,Threat/Content Type;Application;Source Zone;Destination Zone;Inbound Interface;Outbound Interface;IP Protocol;Source Port;Destination Port;Source Country;Destination Country;Threat/Content Name;Category;Severity;Direction;Subcategory of app;Category of app;Technology of app;Risk of app;SaaS of app,141725,35431,36295,0.310406141514493,0.8371482599983066,0.2232272943538048,0.22535000752258463,5770
chronological_holdout,context_majority_full_no_threat_descriptors,17,Application;Source Zone;Destination Zone;Inbound Interface;Outbound Interface;IP Protocol;Source Port;Destination Port;Source Country;Destination Country;Category;Direction;Subcategory of app;Category of app;Technology of app;Risk of app;SaaS of app,141725,35431,35716,0.3224577347520533,0.8491998532358669,0.2547518421574224,0.27842689137406773,5343
chronological_holdout,context_majority_full_minimal_context,11,Application;Source Zone;Destination Zone;Inbound Interface;Outbound Interface;IP Protocol;Source Port;Destination Port;Source Country;Destination Country;Direction,141725,35431,35716,0.3224577347520533,0.8491998532358669,0.2547518421574224,0.27842689137406773,5343
chronological_holdout,context_majority_operational_minimal,10,Application;Direction;Source Zone;Destination Zone;Inbound Interface;Outbound Interface;IP Protocol;Destination Port;Source Country;Destination Country,141725,35431,25753,0.4677824503965454,0.9201264429454432,0.5593961934449314,0.6204672469332012,2830
chronological_holdout,context_majority_app_dir_zones,4,Application;Direction;Source Zone;Destination Zone,141725,35431,15,0.9972622844401795,0.9732155457085603,0.6874199562785511,0.7482154339201245,949
chronological_holdout,train_majority,0,(none),141725,35431,0,0.0,0.8289915610623465,0.2,0.18130024844528803,6059
