metric,value,note
source_port_distinct,10345,high-cardinality
source_port_share_ge_1024,0.319,share of records with source port >= 1024
source_port_share_ge_49152,0.091,share in dynamic/ephemeral range
unique_core_signatures,47047,exact core feature signatures
unique_signatures_no_source_port,32369,signatures with Source Port dropped
signature_groups_collapsed,14678,groups merged when Source Port removed
duplicate_row_fraction_core,0.8544,exact core signature
duplicate_row_fraction_no_source_port,0.9233,signature without Source Port
grouped_nosp_split1_macro_f1,0.9945,errors=8
grouped_nosp_split2_macro_f1,0.9966,errors=3
grouped_nosp_split3_macro_f1,0.9932,errors=4
grouped_nosp_split4_macro_f1,0.9587,errors=4
grouped_nosp_split5_macro_f1,0.9241,errors=7
grouped_nosp_median_macro_f1,0.9932,median over 5 splits
grouped_nosp_range_min,0.9241,
grouped_nosp_range_max,0.9966,
grouped_nosp_mean_macro_f1,0.9734,
grouped_nosp_std_macro_f1,0.0283,
config,n_estimators=300 max_depth=6 seed=42 GroupShuffleSplit test_size=0.2 n_splits=5,grouping excludes Source Port; model trains on full core
